Disease ID,Disease Name,Disease Class,Definitions,# Disease(DOID),main_system_affected
C0242656,Disease Progression,Clinical Concept,The worsening of a disease over time. This concept is most often used for chronic and incurable diseases where the stage of the disease is an important determinant of therapy and prognosis.,,Not system-specific
C0017668,Focal Glomerulosclerosis,urinary system disease,Focal segmental glomerulosclerosis (FSGS) is a kidney disease characterized by scarring (sclerosis) in specific areas (focal) and affecting only some glomeruli (segmental) within the kidney. This damage impairs the kidney's ability to filter waste from the blood.,,Urinary system
C0334588,Giant Cell Glioblastoma,cancer,"A glioblastoma multiforme that is characterized by a prevalence of bizarre, multinucleated giant cells. [url:http\://en.wikipedia.org/wiki/Giant-cell_glioblastoma, url:http\://neuro-oncology.oxfordjournals.org/content/11/6/833.full]",DOID:3074,nervous
C1959629,Seizure Adverse Event,Neurological event,"A seizure adverse event is an unwanted or harmful occurrence of a seizure, often associated with medical treatment, drug exposure, or an underlying medical condition.",,Nervous system
C0005910,Body Weight,metabolic,The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,,metabolic
C0020179,Huntington Disease,nervous system disease,"A familial disorder inherited as an autosomal dominant trait and characterized by the onset of progressive CHOREA and DEMENTIA in the fourth or fifth decade of life. Common initial manifestations include paranoia; poor impulse control; DEPRESSION; HALLUCINATIONS; and DELUSIONS. Eventually intellectual impairment; loss of fine motor control; ATHETOSIS; and diffuse chorea involving axial and limb musculature develops, leading to a vegetative state within 10-15 years of disease onset. The juvenile variant has a more fulminant course including SEIZURES; ATAXIA; dementia; and chorea. (From Adams et al., Principles of Neurology, 6th ed, pp1060-4)",,nervous system
C0017636,Glioblastoma,cancer,"A malignant form of astrocytoma histologically characterized by pleomorphism of cells, nuclear atypia, microhemorrhage, and necrosis. They may arise in any region of the central nervous system, with a predilection for the cerebral hemispheres, basal ganglia, and commissural pathways. Clinical presentation most frequently occurs in the fifth or sixth decade of life with focal neurologic signs or seizures.",,nervous system
C0235833,Congenital Diaphragmatic Hernia,Congenital,"A diaphragm disease characterized by the lack of development of all or part of the diaphragm, which results in an abnormal opening that allows the stomach and intestines to move into the chest cavity and crowd the heart and lungs. [url:http\://en.wikipedia.org/wiki/Congenital_diaphragmatic_hernia, url:http\://ghr.nlm.nih.gov/condition/congenital-diaphragmatic-hernia]",DOID:3827,Respiratory
C0036421,Systemic Scleroderma,immune system disease,"A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies. [sn:IEDB]",DOID:418,Integumentary
C2609414,Acute Kidney Injury,Renal disease,Abrupt reduction in kidney function. Acute kidney injury encompasses the entire spectrum of the syndrome including acute kidney failure; ACUTE KIDNEY TUBULAR NECROSIS; and other less severe conditions.,,Renal system
C1876165,Copper-Overload Cirrhosis,Metabolic,"A form of liver cirrhosis caused by the excessive accumulation of copper in the liver, often due to inherited disorders of copper metabolism like Wilson's disease.",,Hepatic
C0000786,Spontaneous Abortion,Reproductive health issue,The spontaneous loss of a pregnancy before the 20th week of gestation.,DOID:722,Reproductive system
C0017638,Glioma,cancer,"Benign and malignant central nervous system neoplasms derived from glial cells (i.e., astrocytes, oligodendrocytes, and ependymocytes). Astrocytes may give rise to astrocytomas (ASTROCYTOMA) or glioblastoma multiforme (see GLIOBLASTOMA). Oligodendrocytes give rise to oligodendrogliomas (OLIGODENDROGLIOMA) and ependymocytes may undergo transformation to become EPENDYMOMA; CHOROID PLEXUS NEOPLASMS; or colloid cysts of the third ventricle. (From Escourolle et al., Manual of Basic Neuropathology, 2nd ed, p21)",,nervous
C0017639,Gliosis,Neurological,"The production of a dense fibrous network of neuroglia; includes astrocytosis, which is a proliferation of astrocytes in the area of a degenerative lesion.",,Nervous system
C0013080,Down Syndrome,chromosomal disease,"A chromosome disorder associated either with an extra chromosome 21 or an effective trisomy for chromosome 21. Clinical manifestations include hypotonia, short stature, brachycephaly, upslanting palpebral fissures, epicanthus, Brushfield spots on the iris, protruding tongue, small ears, short, broad hands, fifth finger clinodactyly, Simian crease, and moderate to severe INTELLECTUAL DISABILITY. Cardiac and gastrointestinal malformations, a marked increase in the incidence of LEUKEMIA, and the early onset of ALZHEIMER DISEASE are also associated with this condition. Pathologic features include the development of NEUROFIBRILLARY TANGLES in neurons and the deposition of AMYLOID BETA-PROTEIN, similar to the pathology of ALZHEIMER DISEASE. (Menkes, Textbook of Child Neurology, 5th ed, p213)",DOID:14250,Nervous
C0497327,Dementia,Neurological,"An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning. The dysfunction is multifaceted and involves memory, behavior, personality, judgment, attention, spatial relations, language, abstract thought, and other executive functions. The intellectual decline is usually progressive, and initially spares the level of consciousness.",DOID:1307,Nervous
C0030305,Pancreatitis,endocrine system disease,"INFLAMMATION of the PANCREAS. Pancreatitis is classified as acute unless there are computed tomographic or endoscopic retrograde cholangiopancreatographic findings of CHRONIC PANCREATITIS (International Symposium on Acute Pancreatitis, Atlanta, 1992). The two most common forms of acute pancreatitis are ALCOHOLIC PANCREATITIS and gallstone pancreatitis.",DOID:4989,digestive system
C0002514,"Amino Acid Metabolism, Inborn Errors",inherited metabolic disorder,"Disorders affecting amino acid metabolism. The majority of these disorders are inherited and present in the neonatal period with metabolic disturbances (e.g., ACIDOSIS) and neurologic manifestations. They are present at birth, although they may not become symptomatic until later in life.",,Nervous
C0040136,Thyroid Neoplasm,cancer,"An abnormal growth of cells in the thyroid gland, which can be benign (non-cancerous) or malignant (cancerous).",,endocrine system
C0027626,Neoplasm Invasiveness,cancer,Ability of neoplasms to infiltrate and actively destroy surrounding tissue.,,Tissue/Organ System
C0027627,Neoplasm Metastasis,cancer,The transfer of a neoplasm from one organ or part of the body to another remote from the primary site.,,Circulatory
C0001925,Albuminuria,Renal,"The presence of albumin in the urine, an indicator of KIDNEY DISEASES.",,Renal System
C0032914,Pre-Eclampsia,cardiovascular system disease,"A complication of PREGNANCY, characterized by a complex of symptoms including maternal HYPERTENSION and PROTEINURIA with or without pathological EDEMA. Symptoms may range between mild and severe. Pre-eclampsia usually occurs after the 20th week of gestation, but may develop before this time in the presence of trophoblastic disease.",DOID:10591,cardiovascular system
C0027746,Nerve Degeneration,Neurodegenerative,Loss of functional activity and trophic degeneration of nerve axons and their terminal arborizations following the destruction of their cells of origin or interruption of their continuity with these cells. The pathology is characteristic of neurodegenerative diseases. Often the process of nerve degeneration is studied in research on neuroanatomical localization and correlation of the neurophysiology of neural pathways.,,Nervous system
C0040038,Thromboembolism,Vascular,Obstruction of a blood vessel (embolism) by a blood clot (THROMBUS) in the blood stream.,,Cardiovascular
C0032460,Polycystic Ovary Syndrome,polycystic ovary syndrome,"A complex disorder characterized by infertility, HIRSUTISM; OBESITY; and various menstrual disturbances such as OLIGOMENORRHEA; AMENORRHEA; ANOVULATION. Polycystic ovary syndrome is usually associated with bilateral enlarged ovaries studded with atretic follicles, not with cysts. The term, polycystic ovary, is misleading.",DOID:11612,Reproductive system
C0007787,Transient Ischemic Attack,cardiovascular system disease,"A transient episode of neurological dysfunction caused by focal brain, spinal cord, or retinal ischemia, without acute infarction. Symptoms are similar to a stroke but last only a short time, typically less than an hour, and resolve completely.",,nervous system
C0007786,Brain Ischemia,cardiovascular system disease,"Localized reduction of blood flow to brain tissue due to arterial obstruction or systemic hypoperfusion. This frequently occurs in conjunction with brain hypoxia (HYPOXIA, BRAIN). Prolonged ischemia is associated with BRAIN INFARCTION.",DOID:2316,nervous system
C0007785,Cerebral Infarction,cardiovascular system disease,"The formation of an area of NECROSIS in the CEREBRUM caused by an insufficiency of arterial or venous blood flow. Infarcts of the cerebrum are generally classified by hemisphere (i.e., left vs. right), lobe (e.g., frontal lobe infarction), arterial distribution (e.g., INFARCTION, ANTERIOR CEREBRAL ARTERY), and etiology (e.g., embolic infarction).",DOID:3526,nervous system
C0546837,Malignant Neoplasm Of Esophagus,cancer,"A malignant tumor originating in the tissues of the esophagus, the tube that connects the throat to the stomach.",,digestive system
C0029408,Degenerative Polyarthritis,Degenerative,A form of arthritis characterized by the degeneration of cartilage and underlying bone in multiple joints.,,Musculoskeletal
C0029401,Osteitis Deformans,musculoskeletal system disease,"A disease marked by repeated episodes of increased bone resorption followed by excessive attempts at repair, resulting in weakened, deformed bones of increased mass. The resultant architecture of the bone assumes a mosaic pattern in which the fibers take on a haphazard pattern instead of the normal parallel symmetry.",,musculoskeletal system
C0853897,Diabetic Cardiomyopathies,metabolic,"Diabetes complications in which VENTRICULAR REMODELING in the absence of CORONARY ATHEROSCLEROSIS and hypertension results in cardiac dysfunctions, typically LEFT VENTRICULAR DYSFUNCTION. The changes also result in myocardial hypertrophy, myocardial necrosis and fibrosis, and collagen deposition due to impaired glucose tolerance.",,cardiovascular
C0392557,Nuclear Cataract,Degenerative,"A type of cataract that forms in the center (nucleus) of the eye's lens, typically causing gradual blurring of vision and sometimes a yellowish or brownish discoloration.",,Visual System
C0236736,Cocaine-Related Disorders,substance-related,Disorders related or resulting from use of cocaine.,,nervous
C0162671,Melas Syndrome,musculoskeletal system disease,"A mitochondrial disorder characterized by focal or generalized seizures, episodes of transient or persistent neurologic dysfunction resembling strokes, and ragged-red fibers on muscle biopsy. Affected individuals tend to be normal at birth through early childhood, then experience growth failure, episodic vomiting, and recurrent cerebral insults resulting in visual loss and hemiparesis. The cortical lesions tend to occur in the parietal and occipital lobes and are not associated with vascular occlusion. VASCULAR HEADACHE is frequently associated and the disorder tends to be familial. (From Joynt, Clinical Neurology, 1992, Ch56, p117)",DOID:3687,nervous system
C0162670,Mitochondrial Myopathies,musculoskeletal system disease,A group of muscle diseases associated with abnormal mitochondria function.,,musculoskeletal system
C0236733,Amphetamine-Related Disorders,Substance-related,Disorders related or resulting from use of amphetamines.,,Nervous
C0009375,Colonic Neoplasms,benign neoplasm,Tumors or cancer of the COLON.,,digestive system
C0006111,Brain Diseases,nervous system disease,"Pathologic conditions affecting the BRAIN, which is composed of the intracranial components of the CENTRAL NERVOUS SYSTEM. This includes (but is not limited to) the CEREBRAL CORTEX; intracranial white matter; BASAL GANGLIA; THALAMUS; HYPOTHALAMUS; BRAIN STEM; and CEREBELLUM.",,nervous system
C0242339,Dyslipidemias,metabolic,"Abnormalities in the serum levels of LIPIDS, including overproduction or deficiency. Abnormal serum lipid profiles may include high total CHOLESTEROL, high TRIGLYCERIDES, low HIGH DENSITY LIPOPROTEIN CHOLESTEROL, and elevated LOW DENSITY LIPOPROTEIN CHOLESTEROL.",,metabolic
C0005138,Berylliosis,respiratory system disease,"A form of pneumoconiosis caused by inhaled rare metal BERYLLIUM or its soluble salts which are used in a wide variety of industry including alloys, ceramics, radiographic equipment, and vacuum tubes. Berylliosis is characterized by an acute inflammatory reaction in the upper airway leading to BRONCHIOLITIS; PULMONARY EDEMA; and pneumonia.",DOID:10322,respiratory system
C0020437,Hypercalcemia,acquired metabolic disease,Abnormally high level of calcium in the blood.,DOID:12678,Renal
C0036202,Sarcoidosis,immune system disease,"An idiopathic systemic inflammatory granulomatous disorder comprised of epithelioid and multinucleated giant cells with little necrosis. It usually invades the lungs with fibrosis and may also involve lymph nodes, skin, liver, spleen, eyes, phalangeal bones, and parotid glands.",DOID:11335,respiratory system
C0023903,Liver Neoplasms,cancer,Tumors or cancer of the LIVER.,,Digestive system
C0027055,Myocardial Reperfusion Injury,Injury,"Damage to the MYOCARDIUM resulting from MYOCARDIAL REPERFUSION (restoration of blood flow to ischemic areas of the HEART.) Reperfusion takes place when there is spontaneous thrombolysis, THROMBOLYTIC THERAPY, collateral flow from other coronary vascular beds, or reversal of vasospasm.",,Cardiovascular
C0920269,Microsatellite Instability,Genetic,The occurrence of highly polymorphic mono- and dinucleotide MICROSATELLITE REPEATS in somatic cells. It is a form of genome instability associated with defects in DNA MISMATCH REPAIR.,,Gastrointestinal
C0339535,"Night Blindness, Congenital Stationary",genetic,Congenital stationary night blindness (CSNB) is a group of inherited retinal disorders characterized by impaired vision in low light conditions (nyctalopia) that is present from birth and typically does not worsen over time. It results from dysfunction of the photoreceptor cells (rods and cones) or the neurons in the inner retina.,,visual system
C0038325,Stevens-Johnson Syndrome,integumentary system disease,"Rare cutaneous eruption characterized by extensive KERATINOCYTE apoptosis resulting in skin detachment with mucosal involvement. It is often provoked by the use of drugs (e.g., antibiotics and anticonvulsants) or associated with PNEUMONIA, MYCOPLASMA. It is considered a continuum of Toxic Epidermal Necrolysis.",DOID:0050426,integumentary system
C0023452,"Leukemia, Lymphocytic, Acute, L1",cancer,"Acute Lymphocytic Leukemia (ALL) L1 is a subtype of ALL characterized by the uncontrolled proliferation of small, uniform lymphoblasts in the bone marrow and blood. The L1 classification is based on the French-American-British (FAB) morphological system.",,hematopoietic system
C1272641,Systemic Arterial Pressure,Cardiovascular,"The pressure exerted by circulating blood on the walls of arteries in the systemic circulation. While a physiological parameter, deviations from the normal range (high or low) are indicative of cardiovascular diseases such as hypertension or hypotension.",,Cardiovascular
C0023186,Learning Disorders,developmental disorder of mental health,"Conditions characterized by a significant discrepancy between an individual's perceived level of intellect and their ability to acquire new language and other cognitive skills. These disorders may result from organic or psychological conditions. Relatively common subtypes include DYSLEXIA, DYSCALCULIA, and DYSGRAPHIA.",,nervous system
C0265221,Walker-Warburg Congenital Muscular Dystrophy,Genetic,"Walker-Warburg syndrome (WWS) is a severe, autosomal recessive disorder characterized by congenital muscular dystrophy, central nervous system abnormalities (including lissencephaly, hydrocephalus, and cerebellar malformations), and eye abnormalities.",,Neuromuscular
C0024796,Marfan Syndrome,monogenic disease,"An autosomal dominant disorder of CONNECTIVE TISSUE with abnormal features in the heart, the eye, and the skeleton. Cardiovascular manifestations include MITRAL VALVE PROLAPSE, dilation of the AORTA, and aortic dissection. Other features include lens displacement (ectopia lentis), disproportioned long limbs and enlarged DURA MATER (dural ectasia). Marfan syndrome is associated with mutations in the gene encoding fibrillin, a major element of extracellular microfibrils of connective tissue.",DOID:14323,cardiovascular
C0009363,Congenital Ocular Coloboma (Disorder),nervous system disease,"A congenital birth defect characterized by a gap or hole in one of the structures of the eye, such as the iris, lens, retina, choroid, or optic nerve, resulting from incomplete closure of the optic fissure during embryonic development.",,Nervous system
C0024121,Lung Neoplasms,benign neoplasm,Tumors or cancer of the LUNG.,,Respiratory System
C0270853,"Myoclonic Epilepsy, Juvenile",nervous system disease,"A disorder characterized by the onset of myoclonus in adolescence, a marked increase in the incidence of absence seizures (see EPILEPSY, ABSENCE), and generalized major motor seizures (see EPILEPSY, TONIC-CLONIC). The myoclonic episodes tend to occur shortly after awakening. Seizures tend to be aggravated by sleep deprivation and alcohol consumption. Hereditary and sporadic forms have been identified. (From Adams et al., Principles of Neurology, 6th ed, p323)",,nervous system
C0006142,Malignant Neoplasm Of Breast,cancer,"A malignant tumor that originates in the tissues of the breast, characterized by uncontrolled growth of abnormal cells that can invade surrounding tissues and spread to other parts of the body.",,Reproductive System
C1458155,Mammary Neoplasms,cancer,"Abnormal growths of tissue occurring in the mammary gland (breast), which can be benign or malignant.",,Reproductive System
C0270850,Idiopathic Generalized Epilepsy,Neurological disorder,"An epilepsy syndrome that is characterised by generalised seizures with no apparent cause which arise from many independent foci (multifocal epilepsies) or from epileptic circuits that involve the whole brain. [url:http\://en.wikipedia.org/wiki/Epilepsy, url:http\://en.wikipedia.org/wiki/Generalized_epilepsy]",DOID:1827,Nervous system
C0027796,Neuralgia,Neurological,Intense or aching pain that occurs along the course or distribution of a peripheral or cranial nerve.,,Nervous system
C0027794,Neural Tube Defects,Congenital,"Congenital malformations of the central nervous system and adjacent structures related to defective neural tube closure during the first trimester of pregnancy generally occurring between days 18-29 of gestation. Ectodermal and mesodermal malformations (mainly involving the skull and vertebrae) may occur as a result of defects of neural tube closure. (From Joynt, Clinical Neurology, 1992, Ch55, pp31-41)",,Nervous
C0162820,"Dermatitis, Allergic Contact",integumentary system disease,A contact dermatitis due to allergic sensitization to various substances. These substances subsequently produce inflammatory reactions in the skin of those who have acquired hypersensitivity to them as a result of prior exposure.,,integumentary system
C0025521,Inborn Errors Of Metabolism,inherited metabolic disorder,"A group of genetic disorders in which a defective enzyme or transport protein disrupts a specific metabolic pathway, leading to the accumulation of toxic substances or deficiency of essential products.",,Multiple systems
C0344388,Platelet Mean Volume Finding,Laboratory finding,"A laboratory finding indicating the average size of platelets in a blood sample. Deviations from the normal range can be associated with various underlying conditions affecting platelet production, destruction, or function.",,Hematological system
C0021841,Intestinal Neoplasms,benign neoplasm,Tumors or cancer of the INTESTINES.,,Digestive system
C2607914,Allergic Rhinitis (Disorder),Allergic,"Inflammation of the nasal passages caused by an allergic reaction to airborne substances such as pollen, dust mites, or pet dander, leading to symptoms like sneezing, itching, nasal congestion, and runny nose.",,Respiratory
C1271104,Blood Pressure Finding,Clinical finding,A clinical observation or measurement representing the pressure exerted by circulating blood on the walls of blood vessels.,,Cardiovascular system
C0242383,Age Related Macular Degeneration,nervous system disease,"A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision. [url:http\://en.wikipedia.org/wiki/Macular_degeneration, url:http\://www.nei.nih.gov/health/maculardegen/armd_facts.asp]",DOID:10871,nervous system
C0007193,"Cardiomyopathy, Dilated",cardiovascular system disease,"A form of CARDIAC MUSCLE disease that is characterized by ventricular dilation, VENTRICULAR DYSFUNCTION, and HEART FAILURE. Risk factors include SMOKING; ALCOHOL DRINKING; HYPERTENSION; INFECTION; PREGNANCY; and mutations in the LMNA gene encoding LAMIN TYPE A, a NUCLEAR LAMINA protein.",,cardiovascular system
C3160731,Pulmonary Function (Finding),Physiological finding,"A finding related to the state or capacity of the lungs to perform their function, typically assessed through tests measuring lung volumes, capacities, rates of flow, and gas exchange.",,Respiratory system
C0080178,Spina Bifida,nervous system disease,A neural tube defect that is characterized by incomplete closing of the spine and membranes around the spinal cord during early development.,DOID:0080016,nervous system
C0007194,Hypertrophic Cardiomyopathy,cardiovascular system disease,"An intrinsic cardiomyopathy that has_material_basis_in autosomal dominant inheritance and that is characterized by abnormal thickening (hypertrophy) of the heart without any obvious cause. [url:http\://en.wikipedia.org/wiki/Hypertrophic_cardiomyopathy, url:http\://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy, url:http\://www.mayoclinic.org/diseases-conditions/hypertrophic-cardiomyopathy/basics/definition/con-20030747, url:http\://www.nhlbi.nih.gov/health/health-topics/topics/cm/]",DOID:11984,cardiovascular system
C0752166,Bardet-Biedl Syndrome,monogenic disease,An autosomal recessive disorder characterized by RETINITIS PIGMENTOSA; POLYDACTYLY; OBESITY; MENTAL RETARDATION; hypogenitalism; renal dysplasia; and short stature. This syndrome has been distinguished as a separate entity from LAURENCE-MOON SYNDROME. (From J Med Genet 1997 Feb;34(2):92-8),DOID:1935,Nervous system
C0022548,Keloid,Skin disorder,"A sharply elevated, irregularly shaped, progressively enlarging scar resulting from formation of excessive amounts of collagen in the dermis during connective tissue repair. It is differentiated from a hypertrophic scar (CICATRIX, HYPERTROPHIC) in that the former does not spread to surrounding tissues.",,Integumentary system
C0025202,Melanoma,cancer,"A malignant neoplasm derived from cells that are capable of forming melanin, which may occur in the skin of any part of the body, in the eye, or, rarely, in the mucous membranes of the genitalia, anus, oral cavity, or other sites. It occurs mostly in adults and may originate de novo or from a pigmented nevus or malignant lentigo. Melanomas frequently metastasize widely, and the regional lymph nodes, liver, lungs, and brain are likely to be involved. The incidence of malignant skin melanomas is rising rapidly in all parts of the world. (Stedman, 25th ed; from Rook et al., Textbook of Dermatology, 4th ed, p2445)",DOID:1909,Integumentary
C3809874,"Leukemia, Acute Lymphoblastic, Susceptibility To, 3",genetic,"A genetic predisposition or increased risk of developing Acute Lymphoblastic Leukemia (ALL), a type of cancer affecting the blood and bone marrow.",,hematopoietic system
C0032285,Pneumonia,respiratory system disease,Infection of the lung often accompanied by inflammation.,DOID:552,respiratory system
C0033805,Pseudohypoaldosteronism,urinary system disease,"A heterogeneous group of disorders characterized by renal electrolyte transport dysfunctions. Congenital forms are rare autosomal disorders characterized by neonatal hypertension, HYPERKALEMIA, increased RENIN activity and ALDOSTERONE concentration. The Type I features HYPERKALEMIA with sodium wasting; Type II, HYPERKALEMIA without sodium wasting. Pseudohypoaldosteronism can be the result of a defective renal electrolyte transport protein or acquired after KIDNEY TRANSPLANTATION.",DOID:4479,urinary system
C0027708,Nephroblastoma,cancer,A kidney cancer that affects the kidneys and typically located_in children. [url:http\://en.wikipedia.org/wiki/Wilms%27_tumor],DOID:2154,Urinary system
C1838951,Leigh Syndrome Due To Mitochondrial Complex I Deficiency,"Genetic, Metabolic","Leigh syndrome due to mitochondrial complex I deficiency is a severe, progressive neurological disorder characterized by psychomotor regression, hypotonia, spasticity, movement disorders, and respiratory abnormalities. It is caused by impaired function of mitochondrial complex I, a key enzyme in the electron transport chain responsible for cellular energy production.",,Nervous system
C1140680,Malignant Neoplasm Of Ovary,cancer,"A malignant tumor that originates in the ovaries, which are part of the female reproductive system.",,reproductive system
C0031511,Pheochromocytoma,cancer,"A usually benign, well-encapsulated, lobular, vascular tumor of chromaffin tissue of the ADRENAL MEDULLA or sympathetic paraganglia. The cardinal symptom, reflecting the increased secretion of EPINEPHRINE and NOREPINEPHRINE, is HYPERTENSION, which may be persistent or intermittent. During severe attacks, there may be HEADACHE; SWEATING, palpitation, apprehension, TREMOR; PALLOR or FLUSHING of the face, NAUSEA and VOMITING, pain in the CHEST and ABDOMEN, and paresthesias of the extremities. The incidence of malignancy is as low as 5% but the pathologic distinction between benign and malignant pheochromocytomas is not clear. (Dorland, 27th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1298)",,endocrine
C1336708,Testicular Germ Cell Tumor,cancer,"A type of cancer that originates in the germ cells of the testicles, which are the cells that produce sperm.",,reproductive system
C0020619,Hypogonadism,endocrine system disease,"Condition resulting from deficient gonadal functions, such as GAMETOGENESIS and the production of GONADAL STEROID HORMONES. It is characterized by delay in GROWTH, germ cell maturation, and development of secondary sex characteristics. Hypogonadism can be due to a deficiency of GONADOTROPINS (hypogonadotropic hypogonadism) or due to primary gonadal failure (hypergonadotropic hypogonadism).",DOID:1924,endocrine system
C0026650,Movement Disorders,nervous system disease,"Syndromes which feature DYSKINESIAS as a cardinal manifestation of the disease process. Included in this category are degenerative, hereditary, post-infectious, medication-induced, post-inflammatory, and post-traumatic conditions.",,nervous system
C1261473,Sarcoma,Cancer,A connective tissue neoplasm formed by proliferation of mesodermal cells; it is usually highly malignant.,DOID:1115,Musculoskeletal
C0024232,Lymphatic Metastasis,cancer,Transfer of a neoplasm from its primary site to lymph nodes or to distant parts of the body by way of the lymphatic system.,,lymphatic system
C0020615,Hypoglycemia,endocrine system disease,A syndrome of abnormally low BLOOD GLUCOSE level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the CENTRAL NERVOUS SYSTEM resulting in HUNGER; SWEATING; PARESTHESIA; impaired mental function; SEIZURES; COMA; and even DEATH.,DOID:9993,nervous system
C0002895,"Anemia, Sickle Cell",monogenic disease,"A disease characterized by chronic hemolytic anemia, episodic painful crises, and pathologic involvement of many organs. It is the clinical expression of homozygosity for hemoglobin S.",,hematologic system
C0238288,"Muscular Dystrophy, Facioscapulohumeral",musculoskeletal system disease,"An autosomal dominant degenerative muscle disease characterized by slowly progressive weakness of the muscles of the face, upper-arm, and shoulder girdle. The onset of symptoms usually occurs in the first or second decade of life. Affected individuals usually present with impairment of upper extremity elevation. This tends to be followed by facial weakness, primarily involving the orbicularis oris and orbicularis oculi muscles. (Neuromuscul Disord 1997;7(1):55-62; Adams et al., Principles of Neurology, 6th ed, p1420)",,musculoskeletal system
C1527249,Colorectal Cancer,cancer,A large intestine cancer that is located_in the colon and/or located_in the rectum. [url:http\://www.cancer.gov/dictionary?CdrID=444983],DOID:9256,digestive system
C0004153,Atherosclerosis,cardiovascular system disease,A thickening and loss of elasticity of the walls of ARTERIES that occurs with formation of ATHEROSCLEROTIC PLAQUES within the ARTERIAL INTIMA.,DOID:1936,cardiovascular system
C0004096,Asthma,respiratory system disease,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).",DOID:2841,respiratory system
C0949658,"Cardiomyopathy, Hypertrophic, Familial",cardiovascular system disease,An autosomal dominant inherited form of HYPERTROPHIC CARDIOMYOPATHY. It results from any of more than 50 mutations involving genes encoding contractile proteins such as VENTRICULAR MYOSINS; cardiac TROPONIN T; ALPHA-TROPOMYOSIN.,,cardiovascular system
C0037286,Skin Neoplasms,benign neoplasm,Tumors or cancer of the SKIN.,,Integumentary system
C0036572,Seizures,Neurological,"Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena. Recurrent seizures are usually referred to as EPILEPSY or 'seizure disorder.'",,Nervous
C0002395,Alzheimer'S Disease,nervous system disease,"A tauopathy that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid. It is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability. [ls:IEDB, url:http\://en.wikipedia.org/wiki/Alzheimer%27s_disease, url:http\://www.merriam-webster.com/medical/alzheimer%27s%20disease, url:http\://www.nia.nih.gov/alzheimers/publication/alzheimers-disease-fact-sheet]",DOID:10652,nervous system
C0567312,Menopause Present (Finding),Physiological process,"The natural biological transition in a woman's life marking the end of menstruation and reproductive capacity, typically occurring between ages 45 and 55, characterized by a decline in ovarian hormone production.",,Reproductive system
C0027672,"Neoplastic Syndromes, Hereditary",cancer,"The condition of a pattern of malignancies within a family, but not every individual's necessarily having the same neoplasm. Characteristically the tumor tends to occur at an earlier than average age, individuals may have more than one primary tumor, the tumors may be multicentric, usually more than 25 percent of the individuals in direct lineal descent from the proband are affected, and the cancer predisposition in these families behaves as an autosomal dominant trait with about 60 percent penetrance.",,Systemic
C0017178,Gastrointestinal Diseases,Gastrointestinal,Diseases in any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM.,,Gastrointestinal System
C0268237,Cytochrome-C Oxidase Deficiency,inherited metabolic disorder,"A disease that results from a congenital defect in ELECTRON TRANSPORT COMPLEX IV. Defects in ELECTRON TRANSPORT COMPLEX IV can be caused by mutations in the SURF1, SCO2, COX10, or SCO1 genes. ELECTRON TRANSPORT COMPLEX IV deficiency caused by mutation in SURF1 manifests itself as LEIGH DISEASE; that caused by mutation in SCO2 as fatal infantile cardioencephalomyopathy; that caused by mutation in COX10 as tubulopathy and leukodystrophy; and that caused by mutation in SCO1 as early-onset hepatic failure and neurologic disorder. (from Online Mendelian Inheritance in Man, http://www.ncbi.nlm.nih.gov/Omim, MIM#220110, May 17, 2001)",,Nervous
C0035304,Retinal Degeneration,nervous system disease,"A retrogressive pathological change in the retina, focal or generalized, caused by genetic defects, inflammation, trauma, vascular disease, or aging. Degeneration affecting predominantly the macula lutea of the retina is MACULAR DEGENERATION. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p304)",DOID:8466,nervous system
C0035309,Retinal Diseases,nervous system disease,"A group of conditions that affect the retina, the light-sensitive tissue at the back of the eye, often leading to vision impairment or loss.",,nervous system
