,Disease ID,Disease Name,Disease Class,Definitions,Main Symptom,Risk Factors,Disease Class GPT,Main System Affected
133,C0029456,Osteoporosis,musculoskeletal system disease,"Reduction of bone mass without alteration in the composition of bone, leading to fractures. Primary osteoporosis can be of two major types: postmenopausal osteoporosis (OSTEOPOROSIS, POSTMENOPAUSAL) and age-related or senile osteoporosis.",Reduction of bone mass,Postmenopausal or advanced age,Primary osteoporosis,Skeletal system
134,C0018801,Heart Failure,cardiovascular system disease,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a sudden overload beyond its capacity. Chronic heart failure is more common than acute heart failure which results from sudden insult to cardiac function, such as MYOCARDIAL INFARCTION.",Inability of the heart to pump sufficient blood,"Structural defects, functional abnormalities, sudden overload, myocardial infarction","Chronic heart failure, acute heart failure",Cardiovascular system
135,C0677776,Hereditary Breast And Ovarian Cancer Syndrome,monogenic disease,Autosomal dominant HEREDITARY CANCER SYNDROME in which a mutation most often in either BRCA1 or BRCA2 is associated with a significantly increased risk for breast and ovarian cancers.,Significantly increased risk for breast and ovarian cancers,Mutation in either BRCA1 or BRCA2 gene,Autosomal dominant hereditary cancer syndrome,Breast and ovarian
136,C0349788,Arrhythmogenic Right Ventricular Dysplasia,cardiovascular system disease,A congenital cardiomyopathy that is characterized by infiltration of adipose and fibrous tissue into the RIGHT VENTRICLE wall and loss of myocardial cells. Primary injuries usually are at the free wall of right ventricular and right atria resulting in ventricular and supraventricular arrhythmias.,ventricular and supraventricular arrhythmias,congenital,cardiomyopathy,cardiovascular system
137,C0011882,Diabetic Neuropathies,nervous system disease,"Peripheral, autonomic, and cranial nerve disorders that are associated with DIABETES MELLITUS. These conditions usually result from diabetic microvascular injury involving small blood vessels that supply nerves (VASA NERVORUM). Relatively common conditions which may be associated with diabetic neuropathy include third nerve palsy (see OCULOMOTOR NERVE DISEASES); MONONEUROPATHY; mononeuropathy multiplex; diabetic amyotrophy; a painful POLYNEUROPATHY; autonomic neuropathy; and thoracoabdominal neuropathy. (From Adams et al., Principles of Neurology, 6th ed, p1325)","Peripheral, autonomic, and cranial nerve disorders",Diabetes Mellitus,Neuropathies,Nervous System
138,C0042373,Vascular Diseases,cardiovascular system disease,Pathological processes involving any of the BLOOD VESSELS in the cardiac or peripheral circulation. They include diseases of ARTERIES; VEINS; and rest of the vasculature system in the body.,"Reduced blood flow, pain, swelling","Smoking, high blood pressure, high cholesterol, diabetes",Cardiovascular diseases,Cardiac and peripheral circulation
139,C0023418,Leukemia,cancer,"A progressive, malignant disease of the blood-forming organs, characterized by distorted proliferation and development of leukocytes and their precursors in the blood and bone marrow. Leukemias were originally termed acute or chronic based on life expectancy but now are classified according to cellular maturity. Acute leukemias consist of predominately immature cells; chronic leukemias are composed of more mature cells. (From The Merck Manual, 2006)",distorted proliferation and development of leukocytes and their precursors in the blood and bone marrow,unknown,acute or chronic based on cellular maturity,blood-forming organs
140,C0027707,"Nephritis, Interstitial",urinary system disease,"Inflammation of the interstitial tissue of the kidney. This term is generally used for primary inflammation of KIDNEY TUBULES and/or surrounding interstitium. For primary inflammation of glomerular interstitium, see GLOMERULONEPHRITIS. Infiltration of the inflammatory cells into the interstitial compartment results in EDEMA, increased spaces between the tubules, and tubular renal dysfunction.",Inflammation of interstitial tissue of the kidney,Unknown,Kidney disorder,Urinary system
141,C1527336,Sjogren'S Syndrome,immune system disease,"Chronic inflammatory and autoimmune disease in which the salivary and lacrimal glands undergo progressive destruction by lymphocytes and plasma cells resulting in decreased production of saliva and tears. The primary form, often called sicca syndrome, involves both KERATOCONJUNCTIVITIS SICCA and XEROSTOMIA. The secondary form includes, in addition, the presence of a connective tissue disease, usually rheumatoid arthritis.",decreased production of saliva and tears,"connective tissue disease, usually rheumatoid arthritis",chronic inflammatory and autoimmune disease,salivary and lacrimal glands
142,C0002736,Amyotrophic Lateral Sclerosis,nervous system disease,"A degenerative disorder affecting upper MOTOR NEURONS in the brain and lower motor neurons in the brain stem and SPINAL CORD. Disease onset is usually after the age of 50 and the process is usually fatal within 3 to 6 years. Clinical manifestations include progressive weakness, atrophy, FASCICULATION, hyperreflexia, DYSARTHRIA, dysphagia, and eventual paralysis of respiratory function. Pathologic features include the replacement of motor neurons with fibrous ASTROCYTES and atrophy of anterior SPINAL NERVE ROOTS and corticospinal tracts. (From Adams et al., Principles of Neurology, 6th ed, pp1089-94)","progressive weakness, atrophy, fasciculation, hyperreflexia, dysarthria, dysphagia, paralysis of respiratory function",onset usually after age 50,degenerative disorder,"upper motor neurons in the brain, lower motor neurons in the brain stem and spinal cord"
143,C0008370,Cholestasis,gastrointestinal system disease,Impairment of bile flow due to obstruction in small bile ducts (INTRAHEPATIC CHOLESTASIS) or obstruction in large bile ducts (EXTRAHEPATIC CHOLESTASIS).,Impairment of bile flow,Obstruction in small or large bile ducts,Cholestasis,Liver and bile ducts
144,C0009319,Colitis,gastrointestinal system disease,"Inflammation of the COLON section of the large intestine (INTESTINE, LARGE), usually with symptoms such as DIARRHEA (often with blood and mucus), ABDOMINAL PAIN, and FEVER.","diarrhea, abdominal pain, fever",unknown,inflammatory bowel disease,colon
145,C0149931,Migraine Disorders,nervous system disease,"A class of disabling primary headache disorders, characterized by recurrent unilateral pulsatile headaches. The two major subtypes are common migraine (without aura) and classic migraine (with aura or neurological symptoms). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)",recurrent unilateral pulsatile headaches,unknown,primary headache disorders,nervous system
146,C0524620,Metabolic Syndrome X,acquired metabolic disease,"A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)",Excess abdominal fat,"Cardiovascular diseases, Type 2 diabetes mellitus",Metabolic syndrome X,Metabolic system
147,C0007138,"Carcinoma, Transitional Cell",cancer,"A malignant neoplasm derived from TRANSITIONAL EPITHELIAL CELLS, occurring chiefly in the URINARY BLADDER; URETERS; or RENAL PELVIS.",hematuria (blood in urine),"smoking, exposure to certain chemicals, chronic bladder irritation, older age, male gender",malignant neoplasm,urinary system
148,C0026691,Mucocutaneous Lymph Node Syndrome,immune system disease,"An acute, febrile, mucocutaneous condition accompanied by swelling of cervical lymph nodes in infants and young children. The principal symptoms are fever, congestion of the ocular conjunctivae, reddening of the lips and oral cavity, protuberance of tongue papillae, and edema or erythema of the extremities.","fever, congestion of the ocular conjunctivae, reddening of the lips and oral cavity, protuberance of tongue papillae, edema or erythema of the extremities",unknown,mucocutaneous condition,"lymphatic system, skin, mucous membranes"
149,C0033687,Proteinuria,urinary system disease,"The presence of proteins in the urine, an indicator of KIDNEY DISEASES.",Presence of proteins in the urine,Kidney diseases,Kidney diseases,Urinary system
150,C0007959,Charcot-Marie-Tooth Disease,nervous system disease,"A hereditary motor and sensory neuropathy transmitted most often as an autosomal dominant trait and characterized by progressive distal wasting and loss of reflexes in the muscles of the legs (and occasionally involving the arms). Onset is usually in the second to fourth decade of life. This condition has been divided into two subtypes, hereditary motor and sensory neuropathy (HMSN) types I and II. HMSN I is associated with abnormal nerve conduction velocities and nerve hypertrophy, features not seen in HMSN II. (Adams et al., Principles of Neurology, 6th ed, p1343)",progressive distal wasting and loss of reflexes in the muscles of the legs,"hereditary, autosomal dominant trait",hereditary motor and sensory neuropathy,nervous system
151,C0001430,Adenoma,benign neoplasm,A benign epithelial tumor with a glandular organization.,None,"Age, gender, hereditary factors",Benign tumor,Epithelial system
152,C0027947,Neutropenia,immune system disease,A decrease in the number of NEUTROPHILS found in the blood.,Decrease in the number of neutrophils in the blood,"Chemotherapy, radiation therapy, certain medications, autoimmune disorders, genetic disorders",Hematological disorder,Immune system
153,C0032273,Pneumoconiosis,respiratory system disease,"A diffuse parenchymal lung disease caused by inhalation of dust and by tissue reaction to their presence. These inorganic, organic, particulate, or vaporized matters usually are inhaled by workers in their occupational environment, leading to the various forms (ASBESTOSIS; BYSSINOSIS; and others). Similar air pollution can also have deleterious effects on the general population.",Diffuse parenchymal lung disease,Inhalation of dust in occupational environment,Pneumoconiosis,Respiratory system
154,C0007222,Cardiovascular Diseases,cardiovascular system disease,Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.,Chest pain,"High blood pressure, high cholesterol, smoking, obesity, diabetes",Cardiovascular,Cardiovascular system
155,C0040034,Thrombocytopenia,immune system disease,A subnormal level of BLOOD PLATELETS.,Subnormal level of blood platelets,"Certain medications, infections, autoimmune disorders, pregnancy",Blood disorder,Hematological system
156,C0036920,Sezary Syndrome,cancer,"A form of cutaneous T-cell lymphoma manifested by generalized exfoliative ERYTHRODERMA; PRURITUS; peripheral lymphadenopathy, and abnormal hyperchromatic mononuclear (cerebriform) cells in the skin, LYMPH NODES, and peripheral blood (Sezary cells).","generalized exfoliative erythroderma, pruritus",unknown,cutaneous T-cell lymphoma,"skin, lymph nodes, peripheral blood"
157,C0011884,Diabetic Retinopathy,nervous system disease,"Disease of the RETINA as a complication of DIABETES MELLITUS. It is characterized by the progressive microvascular complications, such as ANEURYSM, interretinal EDEMA, and intraocular PATHOLOGIC NEOVASCULARIZATION.",progressive microvascular complications,diabetes mellitus,complication,retina
158,C0003469,Anxiety Disorders,cognitive disorder,Persistent and disabling ANXIETY.,Persistent and disabling anxiety,"Genetics, brain chemistry, personality, life events, trauma",Mental disorder,Nervous system
159,C0026603,Motion Sickness,nervous system disease,"Disorder caused by motion, as sea sickness, train sickness, car sickness, air sickness, or SPACE MOTION SICKNESS. It may include nausea, vomiting and dizziness.","nausea, vomiting, dizziness","motion, such as sea, train, car, air or space travel",motion sickness,vestibular system
160,C0024305,"Lymphoma, Non-Hodgkin",cancer,"Any of a group of malignant tumors of lymphoid tissue that differ from HODGKIN DISEASE, being more heterogeneous with respect to malignant cell lineage, clinical course, prognosis, and therapy. The only common feature among these tumors is the absence of giant REED-STERNBERG CELLS, a characteristic of Hodgkin's disease.",Enlarged lymph nodes,"Weakened immune system, exposure to certain chemicals, infections",Malignant tumor,Lymphatic system
161,C0040028,"Thrombocythemia, Essential",cancer,A clinical syndrome characterized by repeated spontaneous hemorrhages and a remarkable increase in the number of circulating platelets.,repeated spontaneous hemorrhages,unknown,hematological disorder,circulatory system
162,C0018923,Hemangiosarcoma,cancer,"A rare malignant neoplasm characterized by rapidly proliferating, extensively infiltrating, anaplastic cells derived from blood vessels and lining irregular blood-filled or lumpy spaces. (Stedman, 25th ed)","rapidly proliferating, extensively infiltrating, anaplastic cells",unknown,rare malignant neoplasm,blood vessels
163,C0025149,Medulloblastoma,cancer,"A malignant neoplasm that may be classified either as a glioma or as a primitive neuroectodermal tumor of childhood (see NEUROECTODERMAL TUMOR, PRIMITIVE). The tumor occurs most frequently in the first decade of life with the most typical location being the cerebellar vermis. Histologic features include a high degree of cellularity, frequent mitotic figures, and a tendency for the cells to organize into sheets or form rosettes. Medulloblastoma have a high propensity to spread throughout the craniospinal intradural axis. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2060-1)","High degree of cellularity, frequent mitotic figures, tendency for cells to organize into sheets or form rosettes",Unknown,"Malignant neoplasm, glioma or primitive neuroectodermal tumor",Central nervous system
164,C0008924,Cleft Lip,orofacial cleft,Congenital defect in the upper lip where the maxillary prominence fails to merge with the merged medial nasal prominences. It is thought to be caused by faulty migration of the mesoderm in the head region.,Cleft in the upper lip,"Congenital defect, faulty migration of the mesoderm in the head region",Congenital disorder,Upper lip and facial structure
165,C0008925,Cleft Palate,orofacial cleft,"Congenital fissure of the soft and/or hard palate, due to faulty fusion.",Congenital fissure of the soft and/or hard palate,Faulty fusion during development,Congenital,Palate
166,C0004114,Astrocytoma,cancer,"Neoplasms of the brain and spinal cord derived from glial cells which vary from histologically benign forms to highly anaplastic and malignant tumors. Fibrillary astrocytomas are the most common type and may be classified in order of increasing malignancy (grades I through IV). In the first two decades of life, astrocytomas tend to originate in the cerebellar hemispheres; in adults, they most frequently arise in the cerebrum and frequently undergo malignant transformation. (From Devita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2013-7; Holland et al., Cancer Medicine, 3d ed, p1082)",Neoplasms of the brain and spinal cord,None specified,Brain tumor,Central nervous system
167,C1260899,"Anemia, Diamond-Blackfan",immune system disease,"A rare congenital hypoplastic anemia that usually presents early in infancy. The disease is characterized by a moderate to severe macrocytic anemia, occasional neutropenia or thrombocytosis, a normocellular bone marrow with erythroid hypoplasia, and an increased risk of developing leukemia. (Curr Opin Hematol 2000 Mar;7(2):85-94)",moderate to severe macrocytic anemia,congenital,rare,hematopoietic system
168,C0025286,Meningioma,cancer,"A relatively common neoplasm of the CENTRAL NERVOUS SYSTEM that arises from arachnoidal cells. The majority are well differentiated vascular tumors which grow slowly and have a low potential to be invasive, although malignant subtypes occur. Meningiomas have a predilection to arise from the parasagittal region, cerebral convexity, sphenoidal ridge, olfactory groove, and SPINAL CANAL. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2056-7)",Slow-growing tumors,Unknown,Central Nervous System neoplasm,Central Nervous System
169,C0339527,Leber Congenital Amaurosis,nervous system disease,"A rare degenerative inherited eye disease that appears at birth or in the first few months of life that results in a loss of vision. Not to be confused with LEBER HEREDITARY OPTIC NEUROPATHY, the disease is thought to be caused by abnormal development of PHOTORECEPTOR CELLS in the RETINA, or by the extremely premature degeneration of retinal cells.",loss of vision,"inherited, abnormal development of photoreceptor cells, premature degeneration of retinal cells",rare degenerative inherited eye disease,retina
170,C0018213,Graves Disease,immune system disease,"A common form of hyperthyroidism with a diffuse hyperplastic GOITER. It is an autoimmune disorder that produces antibodies against the THYROID STIMULATING HORMONE RECEPTOR. These autoantibodies activate the TSH receptor, thereby stimulating the THYROID GLAND and hypersecretion of THYROID HORMONES. These autoantibodies can also affect the eyes (GRAVES OPHTHALMOPATHY) and the skin (Graves dermopathy).","diffuse hyperplastic goiter, hypersecretion of thyroid hormones","autoimmune disorder, antibodies against TSH receptor",hyperthyroidism,thyroid gland
171,C0235032,Neurotoxicity Syndromes,nervous system disease,"Neurologic disorders caused by exposure to toxic substances through ingestion, injection, cutaneous application, or other method. This includes conditions caused by biologic, chemical, and pharmaceutical agents.",Neurologic disorders,Exposure to toxic substances,Neurotoxicity Syndromes,Nervous system
172,C0004238,Atrial Fibrillation,cardiovascular system disease,"Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation.",Abnormal cardiac rhythm,Abnormal impulse generation,Cardiac arrhythmia,Cardiovascular system
173,C0019189,"Hepatitis, Chronic",gastrointestinal system disease,"INFLAMMATION of the LIVER with ongoing hepatocellular injury for 6 months or more, characterized by NECROSIS of HEPATOCYTES and inflammatory cell (LEUKOCYTES) infiltration. Chronic hepatitis can be caused by viruses, medications, autoimmune diseases, and other unknown factors.",Inflammation of the liver with ongoing hepatocellular injury,"Viruses, medications, autoimmune diseases, and unknown factors",Chronic hepatitis,Liver
174,C0004943,Behcet Syndrome,cardiovascular system disease,Rare chronic inflammatory disease involving the small blood vessels. It is of unknown etiology and characterized by mucocutaneous ulceration in the mouth and genital region and uveitis with hypopyon. The neuro-ocular form may cause blindness and death. SYNOVITIS; THROMBOPHLEBITIS; gastrointestinal ulcerations; RETINAL VASCULITIS; and OPTIC ATROPHY may occur as well.,mucocutaneous ulceration in the mouth and genital region and uveitis with hypopyon,unknown etiology,rare chronic inflammatory disease,small blood vessels
175,C0020517,Hypersensitivity,immune system disease,"Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.",Pathologic reactions upon subsequent exposure to a specific antigen,Exposure to the antigen,Immunologic disorder,Immune system
176,C0027092,Myopia,nervous system disease,"A refractive error in which rays of light entering the EYE parallel to the optic axis are brought to a focus in front of the RETINA when accommodation (ACCOMMODATION, OCULAR) is relaxed. This results from an overly curved CORNEA or from the eyeball being too long from front to back. It is also called nearsightedness.",Nearsightedness,"Overly curved cornea, longer eyeball from front to back",Refractive error,Eyes
177,C0020456,Hyperglycemia,acquired metabolic disease,Abnormally high BLOOD GLUCOSE level.,Abnormally high blood glucose level,"Diabetes, obesity, sedentary lifestyle, family history of diabetes",Metabolic disorder,Endocrine system
178,C0028326,Noonan Syndrome,monogenic disease,"A genetically heterogeneous, multifaceted disorder characterized by short stature, webbed neck, ptosis, skeletal malformations, hypertelorism, hormonal imbalance, CRYPTORCHIDISM, multiple cardiac abnormalities (most commonly including PULMONARY VALVE STENOSIS), and some degree of INTELLECTUAL DISABILITY. The phenotype bears similarities to that of TURNER SYNDROME that occurs only in females and has its basis in a 45, X karyotype abnormality. Noonan syndrome occurs in both males and females with a normal karyotype (46,XX and 46,XY). Mutations in a several genes (PTPN11, KRAS, SOS1, NF1 and RAF1) have been associated the the NS phenotype. Mutations in PTPN11 are the most common. LEOPARD SYNDROME, a disorder that has clinical features overlapping those of Noonan Syndrome, is also due to mutations in PTPN11. In addition, there is overlap with the syndrome called neurofibromatosis-Noonan syndrome due to mutations in NF1.","short stature, webbed neck, ptosis, skeletal malformations, hypertelorism, hormonal imbalance, cryptorchidism, multiple cardiac abnormalities, intellectual disability","mutations in PTPN11, KRAS, SOS1, NF1, RAF1 genes","genetically heterogeneous, multifaceted disorder","skeletal, cardiovascular, endocrine, neurological"
179,C0020459,Hyperinsulinism,endocrine system disease,"A syndrome with excessively high INSULIN levels in the BLOOD. It may cause HYPOGLYCEMIA. Etiology of hyperinsulinism varies, including hypersecretion of a beta cell tumor (INSULINOMA); autoantibodies against insulin (INSULIN ANTIBODIES); defective insulin receptor (INSULIN RESISTANCE); or overuse of exogenous insulin or HYPOGLYCEMIC AGENTS.",Hypoglycemia,"Beta cell tumor, insulin antibodies, insulin resistance, overuse of exogenous insulin or hypoglycemic agents",Hyperinsulinism,Endocrine system
180,C0019829,Hodgkin Disease,cancer,"A malignant disease characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue. In the classical variant, giant usually multinucleate Hodgkin's and REED-STERNBERG CELLS are present; in the nodular lymphocyte predominant variant, lymphocytic and histiocytic cells are seen.","progressive enlargement of lymph nodes, spleen, and general lymphoid tissue","unknown, but factors such as family history, age, and weakened immune system may increase risk",malignant disease,lymphatic system
181,C0013421,Dystonia,nervous system disease,"An attitude or posture due to the co-contraction of agonists and antagonist muscles in one region of the body. It most often affects the large axial muscles of the trunk and limb girdles. Conditions which feature persistent or recurrent episodes of dystonia as a primary manifestation of disease are referred to as DYSTONIC DISORDERS. (Adams et al., Principles of Neurology, 6th ed, p77)",persistent or recurrent episodes of dystonia,unknown,dystonic disorders,large axial muscles of the trunk and limb girdles
182,C0034065,Pulmonary Embolism,cardiovascular system disease,Blocking of the PULMONARY ARTERY or one of its branches by an EMBOLUS.,Shortness of breath,"Recent surgery, prolonged immobility, cancer, obesity",Cardiovascular,Respiratory
183,C0034069,Pulmonary Fibrosis,respiratory system disease,A process in which normal lung tissues are progressively replaced by FIBROBLASTS and COLLAGEN causing an irreversible loss of the ability to transfer oxygen into the bloodstream via PULMONARY ALVEOLI. Patients show progressive DYSPNEA finally resulting in death.,Progressive dyspnea,"Exposure to environmental toxins, smoking, certain medications, genetics",Lung disease,Respiratory system
184,C0035828,Romano-Ward Syndrome,monogenic disease,A form of long QT syndrome that is without congenital deafness. It is caused by mutation of the KCNQ1 gene which encodes a protein in the VOLTAGE-GATED POTASSIUM CHANNEL.,long QT interval,mutation of the KCNQ1 gene,long QT syndrome,cardiovascular system
185,C0023890,Liver Cirrhosis,gastrointestinal system disease,"Liver disease in which the normal microcirculation, the gross vascular anatomy, and the hepatic architecture have been variably destroyed and altered with fibrous septa surrounding regenerated or regenerating parenchymal nodules.",Liver disease,"Alcohol abuse, chronic viral hepatitis",Liver disease,Hepatic system
186,C0028754,Obesity,acquired metabolic disease,"A status with BODY WEIGHT that is grossly above the acceptable or desirable weight, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).",Grossly above the acceptable or desirable weight,Accumulation of excess fats in the body,Obesity,Body weight and body mass index (BMI)
187,C0878544,Cardiomyopathies,cardiovascular system disease,"A group of diseases in which the dominant feature is the involvement of the CARDIAC MUSCLE itself. Cardiomyopathies are classified according to their predominant pathophysiological features (DILATED CARDIOMYOPATHY; HYPERTROPHIC CARDIOMYOPATHY; RESTRICTIVE CARDIOMYOPATHY) or their etiological/pathological factors (CARDIOMYOPATHY, ALCOHOLIC; ENDOCARDIAL FIBROELASTOSIS).",Involvement of the cardiac muscle,Varies depending on the specific type of cardiomyopathy,Group of diseases,Cardiovascular system
188,C0265965,Dyskeratosis Congenita,integumentary system disease,"A predominantly X-linked recessive syndrome characterized by a triad of reticular skin pigmentation, nail dystrophy and leukoplakia of mucous membranes. Oral and dental abnormalities may also be present. Complications are a predisposition to malignancy and bone marrow involvement with pancytopenia. (from Int J Paediatr Dent 2000 Dec;10(4):328-34) The X-linked form is also known as Zinsser-Cole-Engman syndrome and involves the gene which encodes a highly conserved protein called dyskerin.","reticular skin pigmentation, nail dystrophy, leukoplakia of mucous membranes",X-linked recessive inheritance,genetic disorder,"skin, nails, mucous membranes, oral and dental"
189,C0041948,Uremia,urinary system disease,"A clinical syndrome associated with the retention of renal waste products or uremic toxins in the blood. It is usually the result of RENAL INSUFFICIENCY. Most uremic toxins are end products of protein or nitrogen CATABOLISM, such as UREA or CREATININE. Severe uremia can lead to multiple organ dysfunctions with a constellation of symptoms.",multiple organ dysfunctions,renal insufficiency,clinical syndrome,renal system
190,C0024299,Lymphoma,cancer,A general term for various neoplastic diseases of the lymphoid tissue.,Enlarged lymph nodes,"Weak immune system, certain infections, exposure to certain chemicals or radiation",Neoplastic diseases,Lymphoid tissue
191,C0038356,Stomach Neoplasms,cancer,Tumors or cancer of the STOMACH.,Tumors or cancer in the stomach,"Smoking, family history, Helicobacter pylori infection",Neoplasms,Digestive system
192,C0029463,Osteosarcoma,cancer,"A sarcoma originating in bone-forming cells, affecting the ends of long bones. It is the most common and most malignant of sarcomas of the bones, and occurs chiefly among 10- to 25-year-old youths. (From Stedman, 25th ed)",Bone pain,"Previous radiation therapy, certain inherited conditions (such as Li-Fraumeni syndrome or Rothmund-Thomson syndrome), certain genetic mutations",Sarcoma,Skeletal system
193,C0042900,Vitiligo,immune system disease,"A disorder consisting of areas of macular depigmentation, commonly on extensor aspects of extremities, on the face or neck, and in skin folds. Age of onset is often in young adulthood and the condition tends to progress gradually with lesions enlarging and extending until a quiescent state is reached.",macular depigmentation,"unknown, may involve genetic and autoimmune factors",skin disorder,integumentary system
194,C0021390,Inflammatory Bowel Diseases,gastrointestinal system disease,"Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.",Chronic inflammation of the gastrointestinal tract,Genetic or environmental factors,Inflammatory Bowel Diseases,Gastrointestinal tract
195,C0019569,Hirschsprung Disease,gastrointestinal system disease,"Congenital MEGACOLON resulting from the absence of ganglion cells (aganglionosis) in a distal segment of the LARGE INTESTINE. The aganglionic segment is permanently contracted thus causing dilatation proximal to it. In most cases, the aganglionic segment is within the RECTUM and SIGMOID COLON.",Congenital megacolon,Absence of ganglion cells in a distal segment of the large intestine,Congenital disorder,Digestive system
196,C0162871,"Aortic Aneurysm, Abdominal",cardiovascular system disease,"An abnormal balloon- or sac-like dilatation in the wall of the ABDOMINAL AORTA which gives rise to the visceral, the parietal, and the terminal (iliac) branches below the aortic hiatus at the diaphragm.",abnormal balloon- or sac-like dilatation in the wall of the ABDOMINAL AORTA,"smoking, high blood pressure, older age, male gender, family history of aortic aneurysm",cardiovascular disease,circulatory system
197,C0002622,Amnesia,cognitive disorder,"Pathologic partial or complete loss of the ability to recall past experiences (AMNESIA, RETROGRADE) or to form new memories (AMNESIA, ANTEROGRADE). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the DIENCEPHALON or HIPPOCAMPUS. (From Adams et al., Principles of Neurology, 6th ed, pp426-7)",Pathologic partial or complete loss of the ability to recall past experiences or to form new memories,Organic or psychologic origin,Amnesia,Diencephalon or Hippocampus
198,C0038220,Status Epilepticus,nervous system disease,"A prolonged seizure or seizures repeated frequently enough to prevent recovery between episodes occurring over a period of 20-30 minutes. The most common subtype is generalized tonic-clonic status epilepticus, a potentially fatal condition associated with neuronal injury and respiratory and metabolic dysfunction. Nonconvulsive forms include petit mal status and complex partial status, which may manifest as behavioral disturbances. Simple partial status epilepticus consists of persistent motor, sensory, or autonomic seizures that do not impair cognition (see also EPILEPSIA PARTIALIS CONTINUA). Subclinical status epilepticus generally refers to seizures occurring in an unresponsive or comatose individual in the absence of overt signs of seizure activity. (From N Engl J Med 1998 Apr 2;338(14):970-6; Neurologia 1997 Dec;12 Suppl 6:25-30)",Prolonged seizure or seizures repeated frequently,"Neuronal injury, respiratory and metabolic dysfunction",Status Epilepticus,Nervous system
199,C0006663,Calcinosis,acquired metabolic disease,Pathologic deposition of calcium salts in tissues.,Pathologic deposition of calcium salts in tissues,,,
200,C0003504,Aortic Valve Insufficiency,cardiovascular system disease,"Pathological condition characterized by the backflow of blood from the ASCENDING AORTA back into the LEFT VENTRICLE, leading to regurgitation. It is caused by diseases of the AORTIC VALVE or its surrounding tissue (aortic root).",regurgitation,diseases of the AORTIC VALVE or its surrounding tissue,Aortic Valve Insufficiency,Cardiovascular system
201,C0030567,Parkinson Disease,nervous system disease,"A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)",tremor,unknown,progressive neurologic disease,nervous system
202,C0014170,Endometrial Neoplasms,cancer,"Tumors or cancer of ENDOMETRIUM, the mucous lining of the UTERUS. These neoplasms can be benign or malignant. Their classification and grading are based on the various cell types and the percent of undifferentiated cells.",Abnormal vaginal bleeding,"Obesity, diabetes, hormone therapy, family history of endometrial or colorectal cancer",Tumors or cancer of the endometrium,Reproductive system
203,C0014175,Endometriosis,reproductive system disease,"A condition in which functional endometrial tissue is present outside the UTERUS. It is often confined to the PELVIS involving the OVARY, the ligaments, cul-de-sac, and the uterovesical peritoneum.",Pelvic pain,"Family history of endometriosis, early onset of menstruation, long menstrual cycles, never giving birth, uterine abnormalities",Gynecological disorder,Reproductive system
204,C0014859,Esophageal Neoplasms,cancer,Tumors or cancer of the ESOPHAGUS.,Difficulty swallowing,"Tobacco and alcohol use, obesity, GERD, Barrett's esophagus",Cancer,Digestive system
